ticker_symbol,market_cap
MMM,55796105216
AOS,10887487488
ABT,186450214912
ABBV,238196785152
ACN,196316282880
ATVI,65518485504
ADM,41789845504
ADBE,222565826560
ADP,90362396672
AAP,4217544448
AES,14102908928
AFL,42410696704
A,35244265472
APD,65986084864
AKAM,13899086848
ALK,6803586048
ALB,26900451328
ARE,20090386432
ALGN,26366992384
ALLE,10443671552
LNT,13343675392
ALL,29047775232
GOOGL,1526830596096
GOOG,1525566275584
MO,81969037312
AMZN,1336109301760
AMCR,14832114688
AMD,186511900672
AEE,21757155328
AAL,11816819712
AEP,43921969152
AXP,130394210304
AIG,41934249984
AMT,90897022976
AWK,28022896640
AMP,35276886016
ABC,38615289856
AME,37062684672
AMGN,120228913152
APH,50054422528
ADI,97440555008
ANSS,28333912064
AON,69176074240
APA,10510882816
AAPL,3027145850880
AMAT,122157998080
APTV,27870230528
ACGL,27555577856
ANET,49294450688
AJG,46315700224
AIZ,6688596992
T,115241885696
ATO,16948326400
ADSK,43535986688
AZO,45090062336
AVB,27050811392
AVY,14070789120
AXON,14376600576
BKR,32211775488
BALL,18407348224
BAC,232699183104
BBWI,8675765248
BAX,22601377792
BDX,74389217280
WRB,15563053056
BRK.B,747198218240
BBY,17930397696
BIO,10998964224
TECH,12774437888
BIIB,41315155968
BLK,103872626688
BK,35566268416
BA,126888198144
BKNG,100488839168
BWA,11699899392
BXP,9165437952
BSX,76974456832
BMY,135357767680
AVGO,361693642752
BR,19335905280
BRO,19123277824
BF.B,32244926464
BG,14628020224
CHRW,11122252800
CDNS,64189812736
CZR,10889322496
CPT,11756632064
CPB,13864258560
COF,42399559680
CAH,24082612224
KMX,12998534144
CCL,24003358720
CARR,41775296512
CTLT,7984247296
CAT,127707856896
CBOE,14505867264
CBRE,25426059264
CDW,24695674880
CE,12719493120
CNC,36970569728
CNP,18583803904
CDAY,10183987200
CF,13733850112
CRL,10680335360
SCHW,105052708864
CHTR,55441719296
CVX,295697874944
CMG,58588045312
CB,79645663232
CHD,24475252736
CI,82941796352
CINF,15457181696
CTAS,49572605952
CSCO,211169607680
C,90991099904
CFG,12835361792
CLX,19821871104
CME,66965106688
CMS,17441028096
KO,261983059968
CTSH,33270190080
CL,63992877056
CMCSA,174090338304
CMA,5793480192
CAG,16257760256
COP,126124564480
ED,31552468992
STZ,45350117376
CEG,29716047872
COO,18685272064
CPRT,43088961536
GLW,29890570240
CTVA,41230635008
CSGP,35751247872
COST,239760785408
CTRA,19065092096
CCI,50075992064
CSX,69814935552
CMI,35164000256
CVS,89447227392
DHI,40986501120
DHR,174741864448
DRI,20249561088
DVA,9139838976
DE,119176683520
DAL,30824611840
XRAY,8414128640
DVN,31334211584
DXCM,49237524480
FANG,23895353344
DLR,34316531712
DFS,29988483072
DIS,165370642432
DG,37412995072
DLTR,32500174848
D,43978854400
DPZ,11897228288
DOV,20577677312
DOW,38039400448
DTE,22929625088
DUK,69913550848
DD,32851845120
DXC,5710484992
EMN,10218475520
ETN,79971123200
EBAY,24186152960
ECL,53123244032
EIX,26460295168
EW,55462883328
EA,35611951104
ELV,105366650880
LLY,438013558784
EMR,51869343744
ENPH,23235811328
ETR,20751409152
EOG,67083325440
EPAM,13120228352
EQT,14711638016
EFX,28101421056
EQIX,73262407680
EQR,25193392128
ESS,15719630848
EL,70767771648
ETSY,10534260736
RE,14842354688
EVRG,13505242112
ES,24785223680
EXC,40827056128
EXPE,16707017728
EXPD,18593259520
EXR,21399351296
XOM,434458624000
FFIV,8835584000
FDS,15080256512
FICO,19869513728
FAST,33354561536
FRT,7994249728
FDX,62222188544
FITB,18215960576
FSLR,20445427712
FE,22352099328
FIS,34361344000
FI,77750198272
FLT,18714755072
FMC,13276314624
F,60971732992
FTNT,58622738432
FTV,26000769024
FOXA,16791333888
FOX,16864882688
BEN,13468206080
FCX,58420895744
GRMN,19846336512
IT,27440351232
GEHC,36687888384
GEN,11822225408
GNRC,9366310912
GD,59196223488
GE,118055510016
GIS,45239595008
GM,54159073280
GPC,23605282816
GILD,95690448896
GL,10535872512
GPN,26761117696
GS,108580839424
HAL,30340818944
HIG,22429992960
HAS,8980476928
HCA,81860976640
PEAK,11257177088
HSIC,10416049152
HSY,51453362176
HES,42192015360
HPE,21581297664
HLT,38497935360
HOLX,19715837952
HD,311687872512
HON,138660511744
HRL,22189406208
HST,12318694400
HWM,20304988160
HPQ,30318145536
HUM,55759204352
HBAN,15793092608
HII,9124997120
IBM,121378373632
IEX,16084925440
IDXX,40637587456
ITW,76249260032
ILMN,29741770752
INCY,13849303040
IR,26390884352
PODD,19753879552
INTC,140229017600
ICE,63225782272
IFF,20338407424
IP,11116234752
IPG,15035984896
INTU,126466695168
ISRG,117744246784
IVZ,7848434688
INVH,21419972608
IQV,41019318272
IRM,16701249536
JBHT,18906431488
JKHY,12260540416
J,15138278400
JNJ,424502558720
JCI,46428319744
JPM,428436914176
JNPR,10075476992
K,23496062976
KDP,44176953344
KEY,8950475776
KEYS,29783887872
KMB,46383136768
KIM,12472226816
KMI,38778343424
KLAC,66516824064
KHC,43947462656
KR,34049867776
LHX,37462433792
LH,18510311424
LRCX,87453999104
LW,16773444608
LVS,44778635264
LDOS,12130604032
LEN,35778088960
LNC,4420403200
LIN,185145999360
LYV,21092499456
LKQ,15572315136
LMT,117149769728
L,13610068992
LOW,131605471232
LYB,30123624448
MTB,21140131840
MRO,14204891136
MPC,50542198784
MKTX,9875033088
MAR,55886901248
MMC,91731165184
MLM,28271405056
MAS,12796308480
MA,373327921152
MTCH,11812315136
MKC,23678316544
MCD,215260921856
MCK,57023864832
MDT,115931922432
MRK,290105524224
META,732991979520
MET,43866226688
MTD,28893585408
MGM,15934396416
MCHP,49460875264
MU,69931524096
MSFT,2513121050624
MAA,18421895168
MRNA,46404571136
MHK,6573008384
MOH,17401384960
TAP,14406476800
MDLZ,100109598720
MPWR,25730297856
MNST,59610136576
MCO,63562567680
MS,144314204160
MOS,11869576192
MSI,49100828672
MSCI,37855576064
NDAQ,24391020544
NTAP,16240350208
NFLX,196238180352
NWL,3714477056
NEM,34205222912
NWSA,11233253376
NWS,11213880320
NEE,150501982208
NKE,167700971520
NI,11326187520
NDSN,14076802048
NSC,52102242304
NTRS,15700653056
NOC,69575720960
NCLH,9293455360
NRG,8661327872
